radius_kpc,vrot_kms,vrot_err_kms,gobs_m_s2,gobs_err_m_s2
2.660,27.7,11.3,9.349E-012,8.946E-012
3.990,43.5,39.9,1.537E-011,2.866E-011
5.319,40.3,35.1,9.896E-012,1.741E-011
6.649,351.2,383.1,6.012E-010,1.317E-009
7.979,130.0,108.0,6.865E-011,1.146E-010
9.309,431.3,168.3,6.476E-010,5.138E-010
10.639,228.4,298.9,1.589E-010,4.164E-010
11.969,344.0,294.7,3.204E-010,5.502E-010
13.299,338.4,237.8,2.791E-010,3.932E-010
14.629,556.2,628.1,6.854E-010,1.549E-009
15.958,767.2,123.8,1.195E-009,3.985E-010
