radius_kpc,vrot_kms,vrot_err_kms,gobs_m_s2,gobs_err_m_s2
2.659,47.8,48.8,2.785E-011,5.854E-011
3.989,97.7,100.7,7.755E-011,1.619E-010
5.319,156.3,38.5,1.489E-010,8.223E-011
6.648,204.6,76.4,2.041E-010,1.578E-010
7.978,121.8,128.7,6.027E-011,1.278E-010
9.307,152.3,106.1,8.077E-011,1.131E-010
10.637,221.9,148.5,1.500E-010,2.017E-010
11.967,106.7,89.8,3.083E-011,5.201E-011
13.296,287.5,302.9,2.015E-010,4.250E-010
14.626,428.0,305.5,4.059E-010,5.807E-010
