radius_kpc,vrot_kms,vrot_err_kms,gobs_m_s2,gobs_err_m_s2
3.343,149.1,18.4,2.155E-010,1.202E-010
5.015,78.9,38.9,4.023E-011,4.188E-011
6.687,162.7,159.6,1.283E-010,2.537E-010
8.359,201.2,118.1,1.570E-010,1.869E-010
10.030,160.1,119.7,8.282E-011,1.246E-010
11.702,68.2,16.5,1.288E-011,6.499E-012
13.374,327.5,212.8,2.599E-010,3.393E-010
15.046,294.0,157.7,1.862E-010,2.008E-010
18.389,97.9,92.9,1.689E-011,3.210E-011
