radius_kpc,vrot_kms,vrot_err_kms,gobs_m_s2,gobs_err_m_s2
2.656,113.2,47.1,1.564E-010,1.518E-010
3.983,132.2,49.5,1.422E-010,1.166E-010
5.311,82.3,90.4,4.133E-011,9.139E-011
6.639,93.4,86.1,4.259E-011,7.898E-011
7.967,129.1,136.9,6.780E-011,1.442E-010
9.294,112.9,59.2,4.445E-011,4.705E-011
10.622,140.4,109.1,6.015E-011,9.378E-011
11.950,113.1,64.5,3.469E-011,3.976E-011
13.278,151.2,91.1,5.580E-011,6.747E-011
14.605,162.9,117.9,5.889E-011,8.541E-011
15.933,103.6,88.8,2.183E-011,3.747E-011
17.261,499.5,500.9,4.685E-010,9.403E-010
18.589,606.1,442.2,6.405E-010,9.357E-010
