radius_kpc,vrot_kms,vrot_err_kms,gobs_m_s2,gobs_err_m_s2
1.732,81.6,46.9,1.246E-010,1.898E-010
3.463,138.0,53.9,1.782E-010,1.653E-010
5.195,189.0,112.7,2.229E-010,2.760E-010
6.926,145.5,120.6,9.907E-011,1.661E-010
8.658,243.2,156.4,2.214E-010,2.882E-010
10.389,208.5,122.3,1.356E-010,1.607E-010
12.121,214.3,174.3,1.228E-010,2.005E-010
13.852,174.8,232.3,7.149E-011,1.902E-010
15.584,174.4,125.9,6.325E-011,9.160E-011
