radius_kpc,vrot_kms,vrot_err_kms,gobs_m_s2,gobs_err_m_s2
1.732,368.2,29.0,2.537E-009,2.587E-009
3.464,278.5,61.5,7.257E-010,4.841E-010
5.196,243.1,185.4,3.686E-010,5.755E-010
6.928,285.8,192.5,3.821E-010,5.235E-010
8.660,362.2,307.1,4.910E-010,8.383E-010
10.392,228.2,150.7,1.624E-010,2.162E-010
12.124,310.6,274.3,2.579E-010,4.570E-010
13.856,223.8,189.7,1.172E-010,1.991E-010
15.588,196.6,173.3,8.036E-011,1.420E-010
17.320,142.4,89.9,3.794E-011,4.806E-011
19.051,32.7,9.5,1.819E-012,1.070E-012
