radius_kpc,vrot_kms,vrot_err_kms,gobs_m_s2,gobs_err_m_s2
1.330,155.9,64.2,5.923E-010,7.674E-010
2.660,156.9,108.1,2.999E-010,4.397E-010
3.991,251.7,51.5,5.145E-010,2.715E-010
5.321,325.6,176.4,6.457E-010,7.181E-010
6.651,272.1,34.5,3.608E-010,1.165E-010
7.981,196.8,57.1,1.573E-010,9.496E-011
9.312,270.5,193.5,2.547E-010,3.662E-010
10.642,260.0,139.7,2.059E-010,2.227E-010
11.972,269.6,359.7,1.968E-010,5.255E-010
13.302,302.6,275.7,2.231E-010,4.071E-010
14.632,491.7,522.1,5.355E-010,1.138E-009
15.963,338.0,5.9,2.320E-010,5.026E-011
