radius_kpc,vrot_kms,vrot_err_kms,gobs_m_s2,gobs_err_m_s2
1.330,108.8,68.8,2.885E-010,4.650E-010
2.659,184.9,233.3,4.167E-010,1.072E-009
3.989,108.6,60.3,9.582E-011,1.111E-010
5.319,73.6,108.9,3.301E-011,9.802E-011
6.648,101.0,141.5,4.973E-011,1.397E-010
7.978,109.2,91.2,4.844E-011,8.132E-011
9.307,106.8,158.0,3.972E-011,1.177E-010
10.637,113.3,133.7,3.911E-011,9.244E-011
11.967,107.2,158.7,3.112E-011,9.221E-011
13.296,100.1,148.2,2.442E-011,7.236E-011
