Model,chi2,AIC,BIC,BayesFactor
AT  (g† ∝ H(z)),0.00,0.00,0.00,1.0000
MOND (g† = constant),0.00,2.00,0.00,1.0000
NULL (g† = local),0.00,0.00,0.00,1.0000
