Object,RA,DEC,z,StellarMass,StellarMassErr,SFR,Radius,SourceCatalog,SepArcsec,zPDF
COS4_21622,150.115296,2.399710,1.8060,2.138E+010,0.150,1.862E-002,4.30,COSMOS2015,0.08,1.2668
COS4_21786,150.146058,2.402040,1.0176,7.079E+009,0.150,5.129E+000,49.66,COSMOS2015,0.19,0.6926
COS4_21860,150.151100,2.403500,0.5547,1.778E+011,0.150,1.259E+000,7.55,COSMOS2015,0.08,0.8968
COS4_21904,150.079400,2.405400,0.7153,1.778E+010,0.150,1.000E+001,7.19,COSMOS2015,0.24,0.9181
COS4_21907,150.060608,2.406470,0.5619,NaN,0.150,NaN,NaN,none,6.59,NaN
COS4_22100,150.065000,2.406000,0.7187,3.981E+010,0.150,7.943E+000,5.95,COSMOS2015,0.21,0.8875
COS4_22119,150.065567,2.405700,0.9687,1.259E+010,0.150,2.138E+001,5.92,COSMOS2015,0.03,0.8819
COS4_22205,150.139600,2.407100,0.5547,6.166E+010,0.150,4.786E-001,4.32,COSMOS2015,0.16,0.9148
COS4_22217,150.157442,2.406500,0.5545,5.888E+010,0.150,1.585E-002,4.97,COSMOS2015,0.09,0.8399
COS4_22414,150.079400,2.408500,1.0617,6.607E+009,0.150,2.399E+001,5.66,COSMOS2015,0.19,0.8926
COS4_22437,150.064100,2.409600,0.5526,6.607E+010,0.150,8.710E+000,5.46,COSMOS2015,0.27,0.8598
COS4_22564,150.073179,2.411830,1.9700,2.399E+010,0.150,1.585E+002,5.77,COSMOS2015,0.07,2.7251
COS4_22686,150.152221,2.411410,0.5545,4.467E+010,0.150,3.162E-001,5.00,COSMOS2015,0.26,0.9146
COS4_22809,150.071883,2.412760,1.8024,8.710E+009,0.150,1.230E+001,7.08,COSMOS2015,0.08,1.3078
COS4_22929,150.146300,2.414800,0.8971,2.884E+010,0.150,1.995E+001,7.06,COSMOS2015,0.06,0.8900
COS4_22995,150.071471,2.414530,1.9897,1.318E+011,0.150,8.318E+001,4.95,COSMOS2015,0.09,2.4472
COS4_23070,150.118546,2.415570,0.5542,2.291E+009,0.150,3.090E+001,3.83,COSMOS2015,0.01,0.7791
COS4_23139,150.094329,2.416530,1.0654,3.162E+009,0.150,3.981E+001,8.04,COSMOS2015,0.13,0.9081
COS4_23287,150.076600,2.417130,1.8165,5.495E+009,0.150,1.660E+001,4.81,COSMOS2015,0.06,1.4530
COS4_23391,150.127792,2.418400,1.8211,3.548E+010,0.150,4.169E+001,6.06,COSMOS2015,0.04,1.5458
COS4_23734,150.141771,2.422270,2.7871,8.128E+010,0.150,6.026E+001,4.77,COSMOS2015,0.12,1.9895
COS4_23890,150.123000,2.426700,0.5526,5.129E+010,0.150,3.311E+001,6.01,COSMOS2015,0.12,0.8474
COS4_24012,150.067688,2.425990,1.8004,NaN,0.150,NaN,NaN,none,1.79,NaN
COS4_24021,150.103300,2.427200,1.0649,3.890E+010,0.150,2.692E+000,8.51,COSMOS2015,0.11,0.8618
COS4_24028,150.079529,2.430020,1.0537,1.778E+011,0.150,4.898E-002,7.57,COSMOS2015,0.04,0.8772
COS4_24164,150.153562,2.427340,0.6383,1.349E+009,0.150,3.631E+000,4.27,COSMOS2015,0.02,0.8005
COS4_24210,150.089371,2.429480,0.8646,4.467E+010,0.150,4.169E-004,5.47,COSMOS2015,0.06,0.8572
COS4_24367,150.097579,2.431010,0.7649,7.079E+010,0.150,3.162E-001,5.12,COSMOS2015,0.10,0.8725
COS4_24701,150.139008,2.433740,3.9382,1.820E+011,0.150,2.754E+002,4.02,COSMOS2015,0.13,3.0057
COS4_24738,150.138338,2.434110,1.7978,8.710E+009,0.150,1.660E+001,4.71,COSMOS2015,0.07,1.6236
COS4_24763,150.056700,2.434660,1.9700,2.399E+010,0.150,1.023E+002,5.79,COSMOS2015,0.10,2.5856
COS4_24878,150.090088,2.436160,1.8156,1.000E+010,0.150,8.128E+001,6.86,COSMOS2015,0.69,1.6616
COS4_24973,150.137667,2.437160,0.5769,4.571E+009,0.150,3.631E+000,4.14,COSMOS2015,0.04,0.8706
COS4_25085,150.102250,2.438890,0.7070,1.514E+009,0.150,1.622E-001,3.67,COSMOS2015,0.08,0.6096
COS4_25147,150.110871,2.439010,1.8149,1.479E+010,0.150,4.266E+001,4.95,COSMOS2015,0.04,1.6831
COS4_25229,150.108412,2.439710,2.7251,7.586E+009,0.150,5.623E+001,4.13,COSMOS2015,0.03,2.2539
COS4_25353,150.153500,2.443100,0.5422,5.888E+010,0.150,2.512E+001,5.54,COSMOS2015,0.10,0.8825
COS4_25458,150.141662,2.446040,0.7377,1.047E+011,0.150,1.096E-001,5.58,COSMOS2015,0.07,0.9050
COS4_25477,150.123217,2.443240,1.8159,7.943E+010,0.150,6.310E+001,3.75,COSMOS2015,0.10,1.5147
COS4_25850,150.125825,2.447060,1.8182,1.202E+010,0.150,2.455E+001,4.61,COSMOS2015,0.06,1.6234
COS4_25855,150.071800,2.447500,1.0652,1.288E+010,0.150,3.890E+001,6.82,COSMOS2015,0.23,1.0191
COS4_25969,150.151154,2.451280,0.5806,8.511E+010,0.150,1.622E-002,4.91,COSMOS2015,0.04,0.8779
COS4_26272,150.122604,2.452070,0.7839,1.202E+009,0.150,3.162E-001,4.60,COSMOS2015,0.02,0.6952
COS4_26338,150.111388,2.453000,1.8159,1.738E+011,0.150,1.698E+002,5.44,COSMOS2015,0.12,1.9775
COS4_26395,150.152025,2.455310,1.0040,4.677E+010,0.150,3.548E-001,5.74,COSMOS2015,0.10,0.6828
COS4_26507,150.076296,2.455090,1.0609,1.995E+009,0.150,2.692E+000,5.56,COSMOS2015,0.07,0.8012
COS4_26659,150.107600,2.457700,0.5526,6.310E+009,0.150,7.943E+000,5.95,COSMOS2015,0.14,0.9296
COS4_27120,150.100329,2.462580,2.7110,1.175E+010,0.150,3.981E+001,13.18,COSMOS2015,1.37,1.5518
COS4_27785,150.147583,2.472600,1.5601,6.166E+010,0.150,1.072E+001,6.45,COSMOS2015,0.06,0.8456
COS4_27827,150.121142,2.472210,0.6156,9.772E+009,0.150,2.042E+001,4.86,COSMOS2015,0.04,0.8919
