Object,RA,DEC,z,StellarMass,StellarMassErr,SFR,Radius,SourceCatalog,SepArcsec,zPDF
COS4_05925,150.096117,2.240250,0.8013,3.548E+010,0.150,3.981E+001,5.18,COSMOS2015,0.10,0.7961
COS4_05974,150.174575,2.240060,1.8169,1.862E+010,0.150,7.762E+001,6.83,COSMOS2015,0.13,1.8726
COS4_06079,150.109467,2.240070,1.9803,3.236E+010,0.150,7.943E+001,6.29,COSMOS2015,0.06,2.4491
COS4_06179,150.129579,2.241190,1.8149,4.571E+010,0.150,1.000E+002,5.92,COSMOS2015,0.04,1.8420
COS4_06205,150.119979,2.241350,NaN,1.380E+010,0.150,2.754E+000,4.20,COSMOS2015,0.02,0.7787
COS4_06279,150.179854,2.242350,NaN,1.585E+010,0.150,1.698E+001,4.21,COSMOS2015,0.07,2.1946
COS4_06327,150.122200,2.243500,0.6509,3.236E+010,0.150,9.550E+000,4.39,COSMOS2015,0.22,0.7999
COS4_06452,150.097929,2.243800,1.8017,1.622E+010,0.150,1.778E+002,4.68,COSMOS2015,0.10,1.7360
COS4_06483,150.133496,2.245520,0.5683,4.467E+010,0.150,3.162E-001,4.35,COSMOS2015,0.42,0.9308
COS4_06487,150.135500,2.245710,0.5545,8.318E+010,0.150,1.413E+001,4.49,COSMOS2015,0.07,0.8568
COS4_06528,150.167675,2.247090,0.8686,2.344E+010,0.150,2.884E+001,5.37,COSMOS2015,0.38,0.8624
COS4_06750,150.163021,2.247480,2.4739,1.000E+010,0.150,4.169E+001,4.74,COSMOS2015,0.03,2.1041
COS4_06820,150.102971,2.248420,2.9922,4.266E+010,0.150,3.890E+001,4.62,COSMOS2015,0.08,2.3423
COS4_06827,150.115004,2.249210,1.0609,4.467E+010,0.150,1.259E+000,9.77,COSMOS2015,0.19,1.0854
COS4_06963,150.076579,2.249680,1.9875,8.913E+010,0.150,1.622E+001,5.76,COSMOS2015,0.11,2.2113
COS4_06977,150.069521,2.249990,1.8152,7.586E+010,0.150,9.772E-002,4.52,COSMOS2015,0.01,1.5732
COS4_07033,150.096008,2.250320,1.0649,3.311E+009,0.150,3.090E+000,4.83,COSMOS2015,0.04,0.9018
COS4_07201,150.146163,2.252720,0.5390,3.631E+009,0.150,5.012E+000,3.87,COSMOS2015,0.04,0.7793
COS4_07337,150.123183,2.253680,1.8261,1.413E+010,0.150,3.981E+001,4.16,COSMOS2015,0.06,1.6265
COS4_07392,150.085808,2.256950,1.0614,3.388E+010,0.150,2.344E+001,6.35,COSMOS2015,0.09,0.8885
COS4_07757,150.141571,2.258920,1.8179,8.511E+009,0.150,2.570E+001,5.31,COSMOS2015,0.04,1.7069
COS4_07884,150.065629,2.261000,2.1107,2.239E+011,0.150,3.236E+001,7.19,COSMOS2015,0.04,1.8915
COS4_07901,150.177537,2.261220,0.8790,6.166E+009,0.150,1.622E+001,6.44,COSMOS2015,0.02,0.8840
COS4_08096,150.068425,2.265490,1.0614,3.162E+011,0.150,2.512E+000,7.00,COSMOS2015,0.16,0.9528
COS4_08372,150.176087,2.265240,0.7524,1.318E+010,0.150,1.995E-001,3.84,COSMOS2015,0.06,0.9969
COS4_08515,150.184471,2.266260,2.7537,1.000E+010,0.150,2.630E+001,5.08,COSMOS2015,0.04,2.5463
COS4_08565,150.162000,2.266970,1.7952,1.413E+010,0.150,3.236E+002,6.06,COSMOS2015,0.07,1.7933
COS4_08576,150.115354,2.267390,0.8910,2.344E+010,0.150,4.898E-001,4.31,COSMOS2015,0.02,0.8188
