Object,z,SNR,Inclination,Vmax,VelocitySpan,gdagger_m_s2,gdagger_err_m_s2,log_gdagger,log_err_dex,Npoints,Class,Constrained
COS4_12157,1.8208,453.0,29.4,59.4,437,9.550E-010,2.753E-010,-9.02,0.11,11,marginal,1
COS4_17162,1.7991,444.5,29.4,82.0,929,8.318E-009,2.154E-009,-8.08,0.10,10,marginal,0
COS4_05499,1.8001,165.8,28.8,88.9,1039,1.000E-008,9.000E-008,-8.00,1.00,13,marginal,0
COS4_18709,1.8024,477.3,28.9,23.8,1046,1.000E-008,9.000E-008,-8.00,1.00,10,marginal,0
COS4_24878,1.8156,331.2,28.8,41.0,490,4.571E-010,1.595E-010,-9.34,0.13,11,marginal,1
COS4_26338,1.8159,421.7,28.7,114.4,455,5.248E-010,2.514E-010,-9.28,0.17,12,marginal,1
COS4_04484,1.8327,47.3,28.4,1230.4,887,1.000E-008,9.000E-008,-8.00,1.00,13,marginal,0
COS4_04536,1.8156,207.0,28.5,169.4,315,1.000E-013,9.000E-013,-13.00,1.00,12,marginal,0
COS4_13527,1.0625,57.1,28.6,87.5,884,1.000E-008,9.000E-008,-8.00,1.00,12,marginal,0
COS4_05103,1.8277,75.2,28.1,183.5,1167,9.120E-009,2.100E-009,-8.04,0.09,13,marginal,0
COS4_12056,1.8179,315.2,28.1,158.7,857,1.000E-008,9.000E-008,-8.00,1.00,12,marginal,0
COS4_19049,1.7988,407.1,28.0,153.0,863,4.169E-009,1.202E-009,-8.38,0.11,11,marginal,0
COS4_13748,1.8165,193.6,27.7,2137.0,683,1.000E-008,9.000E-008,-8.00,1.00,15,marginal,0
COS4_17997,1.8060,415.8,27.8,12.6,791,1.000E-008,9.000E-008,-8.00,1.00,12,marginal,0
COS4_19796,1.8182,451.2,27.8,12.6,455,1.259E-009,4.007E-010,-8.90,0.12,11,marginal,1
COS4_20910,0.5547,44.2,27.9,86.6,258,1.000E-013,9.000E-013,-13.00,1.00,11,marginal,0
COS4_06179,1.8149,228.3,27.3,180.7,1068,6.026E-011,5.723E-011,-10.22,0.29,12,marginal,1
COS4_06977,1.8152,190.1,27.0,320.5,858,3.311E-010,1.054E-010,-9.48,0.12,13,marginal,1
COS4_07392,1.0614,27.1,26.7,107.5,272,1.000E-013,9.000E-013,-13.00,1.00,10,marginal,0
COS4_12883,0.5550,35.3,25.4,132.7,219,1.820E-010,8.106E-011,-9.74,0.16,12,marginal,1
COS4_03243,1.0625,79.6,80.2,0.0,718,1.000E-008,9.000E-008,-8.00,1.00,7,usable,0
COS4_14445,0.9313,13.5,41.8,137.3,1119,1.000E-008,9.000E-008,-8.00,1.00,7,usable,0
